date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:38	13952/13952	---M--	200	added ('OK')	image/png	etag:%223680-57473c32b2900%22	https://www.sih.gov.in/img/partner-supporters/CEERI-Pilani.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/CEERI-Pilani.png	(from https://www.sih.gov.in/sih2018Hardware)
17:32:40	12459/12459	---M--	200	added ('OK')	image/png	etag:%2230ab-57473c3683200%22	https://www.sih.gov.in/img/partner-supporters/IISc_Bengaluru.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/IISc_Bengaluru.png	(from https://www.sih.gov.in/sih2018Hardware)
17:32:41	9553/9553	---M--	200	added ('OK')	image/png	etag:%222551-57473c386b680%22	https://www.sih.gov.in/img/partner-supporters/NIT_Trichy.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/NIT_Trichy.png	(from https://www.sih.gov.in/sih2018Hardware)
17:32:42	18603/18603	---M--	200	added ('OK')	image/png	etag:%2248ab-57473c32b2900%22	https://www.sih.gov.in/img/partner-supporters/COEP_Pune.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/COEP_Pune.png	(from https://www.sih.gov.in/sih2018Hardware)
17:32:42	4229/4229	---M--	200	added ('OK')	image/png	etag:%221085-57473c32b2900%22	https://www.sih.gov.in/img/partner-supporters/Forge_Coimbatore.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/Forge_Coimbatore.png	(from https://www.sih.gov.in/sih2018Hardware)
17:32:44	7295/7295	---M--	200	added ('OK')	image/png	etag:%221c7f-57473c1db7780%22	https://www.sih.gov.in/img/SIH-editions-img.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/SIH-editions-img.png	(from https://www.sih.gov.in/sih2019)
17:32:44	4043/4043	---M--	200	added ('OK')	image/png	etag:%22fcb-57473c1245c80%22	https://www.sih.gov.in/img/icon_renewable.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/icon_renewable.png	(from https://www.sih.gov.in/sih2019)
17:32:45	290715/290715	---M--	200	added ('OK')	image/png	etag:%2246f9b-57473c011b400%22	https://www.sih.gov.in/img/banner_SIH2019.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/banner_SIH2019.png	(from https://www.sih.gov.in/sih2019)
17:32:45	14904/14904	---M--	200	added ('OK')	image/png	etag:%223a38-574745bfeb200%22	https://www.sih.gov.in/img/people/s.s.sandhu.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/s.s.sandhu.png	(from https://www.sih.gov.in/sih2019)
17:32:46	14670/14670	---M--	200	added ('OK')	image/png	etag:%22394e-574745d6ce800%22	https://www.sih.gov.in/img/people/vk.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/vk.png	(from https://www.sih.gov.in/sih2019)
17:32:47	13935/13935	---M--	200	added ('OK')	image/png	etag:%22366f-57474586b2b00%22	https://www.sih.gov.in/img/people/mohit-gambhir.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/mohit-gambhir.png	(from https://www.sih.gov.in/sih2019)
17:32:48	15153/15153	---M--	200	added ('OK')	image/png	etag:%223b31-574745e240300%22	https://www.sih.gov.in/img/people/abhijit-karmakar.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/abhijit-karmakar.png	(from https://www.sih.gov.in/sih2019)
17:32:48	13767/13767	---M--	200	added ('OK')	image/png	etag:%2235c7-5747459f7e580%22	https://www.sih.gov.in/img/people/prof-shailendra-varshney.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/prof-shailendra-varshney.png	(from https://www.sih.gov.in/sih2019)
17:32:50	16301/16301	---M--	200	added ('OK')	image/png	etag:%223fad-5747456fcf500%22	https://www.sih.gov.in/img/people/hemangee-kapoor.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/people/hemangee-kapoor.png	(from https://www.sih.gov.in/sih2019)
17:32:50	9042/9042	---M--	200	added ('OK')	image/png	etag:%222352-57cfa848c2ac0%22	https://www.sih.gov.in/img/partner-supporters/KPITlogo.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-supporters/KPITlogo.png	(from https://www.sih.gov.in/sih2019)
17:32:52	40224/40224	---M--	200	added ('OK')	image/jpeg	etag:%229d20-57d7411a11140%22	https://www.sih.gov.in/img/partner-communication/Logo_SumaSoft.jpg	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/partner-communication/Logo_SumaSoft.jpg	(from https://www.sih.gov.in/sih2019)
17:32:53	898/898	---M--	200	added ('OK')	image/png	etag:%22382-57473c142e100%22	https://www.sih.gov.in/img/md-blog-icon.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/md-blog-icon.png	(from https://www.sih.gov.in/mediaSocialMedia)
17:32:53	814/814	---M--	200	added ('OK')	image/png	etag:%2232e-57473c1616580%22	https://www.sih.gov.in/img/md-twitter-icon.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/md-twitter-icon.png	(from https://www.sih.gov.in/mediaSocialMedia)
17:32:54	492834/492834	---M--	200	added ('OK')	image/png	etag:%2278522-57473bf791d80%22	https://www.sih.gov.in/img/banner_media.png	D:/My_Web%20Sites/SIH/www.sih.gov.in/img/banner_media.png	(from https://www.sih.gov.in/mediaNewsUpdate)
